CustomerID,Cluster_Label
1,0
2,4
3,0
4,4
5,0
6,4
7,0
8,4
9,0
10,4
11,0
12,4
13,0
14,4
15,0
16,4
17,0
18,4
19,0
20,4
21,0
22,4
23,0
24,4
25,0
26,4
27,0
28,4
29,0
30,4
31,0
32,4
33,0
34,4
35,0
36,4
37,0
38,4
39,0
40,4
41,0
42,4
43,0
44,4
45,0
46,4
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,2
125,3
126,2
127,1
128,2
129,3
130,2
131,3
132,2
133,3
134,2
135,3
136,2
137,3
138,2
139,3
140,2
141,3
142,2
143,1
144,2
145,3
146,2
147,3
148,2
149,3
150,2
151,3
152,2
153,3
154,2
155,3
156,2
157,3
158,2
159,3
160,2
161,3
162,2
163,3
164,2
165,3
166,2
167,3
168,2
169,3
170,2
171,3
172,2
173,3
174,2
175,3
176,2
177,3
178,2
179,3
180,2
181,3
182,2
183,3
184,2
185,3
186,2
187,3
188,2
189,3
190,2
191,3
192,2
193,3
194,2
195,3
196,2
197,3
198,2
199,3
200,2
